energy H2_300_initial H2_300_initial_ref
11572.8 5.381149814917043 0.8204125915435849
11573.0 5.371077152496787 0.8120881784013447
11573.2 5.362912545773978 0.8051840267821909
11573.4 5.352698239269183 0.7977133141216671
11573.6 5.3424567079723415 0.7919932468958394
11573.8 5.338718779650109 0.7861013012894572
11574.0 5.331909225849971 0.7799052083589543
11574.2 5.325307743415053 0.7765973535406026
11574.4 5.319115189362504 0.7725958113261516
11574.6 5.311071432200963 0.7696951131835112
11574.8 5.3097882274125405 0.7663357833773122
11575.0 5.304864000694835 0.7651740345893698
11575.2 5.301260457251307 0.7643709020456896
11575.4 5.296311148947849 0.7631361578965278
11575.6 5.296742661850755 0.7639632263619307
11575.8 5.2910333192406585 0.7651675333367766
11576.0 5.291112383951926 0.7660757212747688
11576.2 5.288882365907649 0.7671736558670949
11576.4 5.285459248926737 0.7699461754453506
11576.6 5.285674097975625 0.7730550785364875
11576.8 5.2862117279648 0.7756458404960469
11577.0 5.28502804086824 0.7804892167180181
11577.2 5.289314908993751 0.7840171188238046
11577.4 5.289098843057617 0.7893017956506249
11577.6 5.289046327248045 0.7935320636351803
11577.8 5.290062095509543 0.7985794148702363
11578.0 5.289853937204371 0.8033111368692077
11578.2 5.29246829854074 0.8066067413672061
11578.4 5.295743300768981 0.8126736340743757
11578.6 5.297992643653084 0.817048080746834
11578.8 5.301248689462062 0.8211767504914034
11579.0 5.303655134394417 0.824236473876136
11579.2 5.300214605625043 0.8294025804474062
11579.4 5.3040884580283745 0.8320546796731852
11579.6 5.306030377084584 0.8346188597691185
11579.8 5.308403922874954 0.8362550535212975
11580.0 5.30965285391436 0.8374677823793869
11580.2 5.3110738156412305 0.8382607680652877
11580.4 5.3130780995003635 0.8381285085198125
11580.6 5.313967232947391 0.8372857742723928
11580.8 5.312340394487243 0.8373308289236726
11581.0 5.31492989185957 0.8344896464885562
11581.2 5.3146979882635454 0.8325082915255623
11581.4 5.313359399961061 0.8279651699373528
11581.6 5.312783439608315 0.8242435472660314
11581.8 5.309759590377644 0.8193702772661909
11582.0 5.306602573858543 0.8142621129519025
11582.2 5.3094697753194495 0.8089542745945015
11582.4 5.305958261638193 0.8035158977042884
11582.6 5.301456116578096 0.7973659431162794
11582.8 5.301932115959157 0.7919476453984843
11583.0 5.2987524022829415 0.7863023756243369
11583.2 5.295406069379848 0.7814855223313956
