# Null title                                   Feff8L (EXAFS)       0.1      
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.464 Rnm= 1.499 L3 shell
# Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
# Gam_ch=5.171E+00 H-L exch
# Mu=-2.715E-01 kf=2.035E+00 Vint=-1.605E+01 Rs_int= 1.782
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.7748
#           2       0.00000     25.11      6.00     2   3.9242
#           3       0.00000     14.84     48.00     3   4.1622
#           4       0.00000      5.81     48.00     3   4.7369
#           5       0.00000     59.98     24.00     2   4.8061
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    13.1000   -6.302666E-03  2.037677E-02  6.628791E+01
    13.1500   -9.259633E-03  2.213751E-02  6.640499E+01
    13.2000   -1.381900E-02  2.485899E-02  6.656289E+01
    13.2500   -2.003904E-02  2.823911E-02  6.676240E+01
    13.3000   -2.732787E-02  3.201242E-02  6.699643E+01
    13.3500   -3.449733E-02  3.597438E-02  6.725669E+01
    13.4000   -3.997017E-02  3.997141E-02  6.753635E+01
    13.4500   -4.210242E-02  4.388583E-02  6.783030E+01
    13.5000   -3.955598E-02  4.762429E-02  6.813488E+01
    13.5500   -3.164189E-02  5.111040E-02  6.844746E+01
    13.6000   -1.855757E-02  5.428021E-02  6.876612E+01
    13.6500   -1.460034E-03  5.707956E-02  6.908946E+01
    13.7000    1.765058E-02  5.946256E-02  6.941642E+01
    13.7500    3.622423E-02  6.139071E-02  6.974617E+01
    13.8000    5.158106E-02  6.283246E-02  7.007808E+01
    13.8500    6.138016E-02  6.376293E-02  7.041159E+01
    13.9000    6.404670E-02  6.416382E-02  7.074627E+01
    13.9500    5.907230E-02  6.402339E-02  7.108169E+01
    14.0000    4.712719E-02  6.333639E-02  7.141748E+01
    14.0500    2.993034E-02  6.196333E-02  7.175252E+01
    14.1000    1.013255E-02  6.006250E-02  7.208712E+01
